"V1","V2"
0,14
0,24
0,53
0,55
0,65
0,79
0,138
0,147
0,151
0,171
0,193
0,201
1,57
1,74
2,12
2,14
2,16
2,41
2,53
2,60
2,65
2,69
2,73
2,74
2,77
2,83
2,88
2,119
2,124
2,125
2,140
2,142
2,143
2,157
2,159
2,161
2,163
2,183
2,188
2,190
2,191
2,192
2,193
2,198
2,202
2,229
2,230
2,237
2,238
2,244
2,246
2,252
2,260
2,262
2,264
3,14
4,32
4,88
4,138
5,74
6,46
6,180
6,238
6,242
6,244
6,246
7,14
7,138
7,147
8,14
8,74
8,125
9,14
9,55
9,125
9,147
10,14
10,32
10,41
10,53
10,55
10,65
10,72
10,79
10,88
10,95
10,138
10,140
10,161
10,163
10,183
10,193
10,201
10,233
10,260
11,183
12,69
12,73
12,74
12,125
12,140
12,230
12,262
13,14
13,73
13,105
13,142
13,181
13,193
13,202
13,219
13,238
13,244
13,262
14,15
14,16
14,17
14,18
14,20
14,23
14,24
14,29
14,30
14,31
14,32
14,34
14,37
14,38
14,39
14,41
14,42
14,43
14,44
14,47
14,48
14,49
14,51
14,53
14,55
14,56
14,60
14,62
14,63
14,64
14,65
14,68
14,70
14,72
14,73
14,74
14,75
14,78
14,79
14,80
14,83
14,86
14,87
14,88
14,89
14,92
14,93
14,95
14,96
14,97
14,98
14,99
14,100
14,106
14,107
14,108
14,109
14,110
14,111
14,112
14,114
14,115
14,116
14,117
14,119
14,120
14,122
14,124
14,125
14,126
14,128
14,129
14,132
14,135
14,136
14,137
14,138
14,140
14,141
14,142
14,145
14,146
14,147
14,149
14,154
14,156
14,159
14,160
14,161
14,162
14,163
14,164
14,165
14,166
14,168
14,169
14,170
14,171
14,173
14,174
14,175
14,176
14,181
14,183
14,184
14,185
14,186
14,187
14,188
14,190
14,191
14,192
14,193
14,194
14,197
14,198
14,199
14,200
14,201
14,202
14,203
14,206
14,209
14,213
14,214
14,218
14,221
14,223
14,224
14,225
14,228
14,229
14,230
14,231
14,233
14,235
14,236
14,237
14,238
14,239
14,241
14,242
14,244
14,246
14,248
14,251
14,252
14,255
14,256
14,258
14,259
14,260
14,261
14,262
14,263
14,264
14,269
14,270
14,271
14,273
15,31
15,49
15,55
15,65
15,78
15,79
15,171
15,181
15,183
15,191
15,193
15,201
15,273
16,24
16,30
16,32
16,41
16,53
16,55
16,65
16,69
16,73
16,74
16,78
16,79
16,83
16,88
16,95
16,119
16,121
16,124
16,125
16,129
16,137
16,138
16,140
16,142
16,143
16,148
16,157
16,159
16,161
16,163
16,165
16,183
16,184
16,188
16,190
16,192
16,193
16,194
16,201
16,202
16,218
16,229
16,230
16,237
16,238
16,242
16,244
16,248
16,252
16,260
16,262
16,264
16,269
17,65
17,79
17,88
17,125
17,161
17,183
18,65
18,79
18,120
18,138
18,147
18,162
18,171
18,193
18,201
19,65
19,79
19,90
19,183
19,193
19,273
20,30
20,41
20,53
20,55
20,65
20,72
20,73
20,74
20,79
20,88
20,95
20,108
20,124
20,125
20,129
20,138
20,140
20,142
20,161
20,163
20,165
20,170
20,171
20,183
20,193
20,194
20,197
20,201
20,202
20,213
20,218
20,228
20,255
20,260
21,73
21,91
21,134
21,140
21,142
21,177
21,202
21,229
21,238
21,242
21,244
21,246
22,79
23,32
23,38
23,65
23,79
23,88
23,138
23,183
24,30
24,41
24,53
24,55
24,65
24,69
24,73
24,74
24,79
24,88
24,119
24,122
24,124
24,125
24,137
24,138
24,140
24,147
24,161
24,163
24,165
24,171
24,184
24,191
24,193
24,202
24,218
24,236
24,244
24,252
24,260
24,273
25,73
25,113
25,183
25,193
25,204
25,244
26,73
26,183
26,215
27,183
28,102
28,244
29,74
29,140
29,161
29,190
29,193
30,32
30,41
30,51
30,53
30,55
30,56
30,60
30,63
30,65
30,72
30,73
30,74
30,79
30,88
30,95
30,98
30,119
30,124
30,125
30,137
30,138
30,140
30,142
30,147
30,159
30,161
30,163
30,165
30,170
30,171
30,183
30,184
30,188
30,192
30,193
30,194
30,201
30,202
30,213
30,218
30,229
30,230
30,237
30,239
30,244
30,252
30,260
31,73
31,102
31,105
31,140
31,142
31,155
31,183
31,188
31,192
31,193
31,194
31,198
31,202
31,206
31,223
31,229
31,237
31,238
31,244
31,266
32,38
32,39
32,41
32,44
32,49
32,53
32,55
32,56
32,65
32,72
32,73
32,74
32,79
32,88
32,95
32,104
32,111
32,124
32,125
32,129
32,137
32,138
32,140
32,142
32,147
32,148
32,161
32,163
32,165
32,169
32,170
32,171
32,183
32,184
32,186
32,188
32,193
32,194
32,197
32,198
32,200
32,201
32,202
32,206
32,213
32,214
32,218
32,221
32,225
32,228
32,229
32,231
32,236
32,237
32,238
32,242
32,244
32,251
32,252
32,255
32,260
33,125
35,125
36,42
36,244
37,65
37,72
37,73
37,74
37,119
37,125
37,165
37,184
37,193
38,41
38,53
38,65
38,79
38,88
38,124
38,129
38,138
38,161
38,183
38,193
39,41
39,53
39,55
39,65
39,72
39,74
39,79
39,88
39,95
39,124
39,138
39,140
39,161
39,163
39,183
39,193
39,201
39,202
39,228
39,260
40,73
40,74
40,124
40,138
40,140
40,188
40,198
40,202
40,208
40,211
40,223
40,237
40,238
40,242
40,244
40,246
40,264
41,53
41,55
41,56
41,65
41,68
41,70
41,73
41,74
41,79
41,88
41,95
41,110
41,119
41,125
41,129
41,132
41,136
41,137
41,138
41,140
41,142
41,147
41,149
41,159
41,161
41,162
41,163
41,165
41,169
41,170
41,171
41,183
41,184
41,190
41,193
41,194
41,197
41,201
41,202
41,206
41,213
41,214
41,218
41,224
41,225
41,228
41,229
41,230
41,231
41,236
41,237
41,238
41,244
41,251
41,252
41,260
42,73
42,79
42,113
42,127
42,142
42,183
42,193
42,238
42,244
43,65
43,74
43,79
43,88
43,124
43,125
43,147
43,165
43,193
44,65
44,73
44,79
44,95
44,140
44,147
44,161
44,193
44,228
44,256
44,260
44,273
45,142
45,240
45,244
46,238
47,65
47,74
47,79
47,125
47,165
47,193
48,65
48,72
49,53
49,55
49,65
49,74
49,79
49,88
49,124
49,125
49,137
49,138
49,147
49,165
49,183
49,193
49,231
50,91
50,180
50,238
51,65
51,73
51,74
51,78
51,79
51,126
51,147
51,171
51,183
51,193
52,142
52,202
53,55
53,56
53,60
53,65
53,68
53,70
53,72
53,73
53,74
53,78
53,79
53,88
53,95
53,110
53,111
53,112
53,124
53,125
53,129
53,137
53,138
53,140
53,142
53,145
53,147
53,159
53,161
53,162
53,163
53,165
53,169
53,170
