"id","name","city","state","longitude","latitude"
0,"Lehigh Valley International","Allentown","PA",-75.44040167,40.65236278
1,"Abilene Regional","Abilene","TX",-99.68189722,32.41132
2,"Albuquerque International","Albuquerque","NM",-106.6091944,35.04022222
3,"Southwest Georgia Regional","Albany","GA",-84.19447333,31.535515
4,"Nantucket Memorial","Nantucket","MA",-70.06018139,41.25305194
5,"Waco Regional","Waco","TX",-97.23051917,31.61128833
6,"Arcata","Arcata/Eureka","CA",-124.1086189,40.97811528
7,"Atlantic City International","Atlantic City","NJ",-74.57716667,39.45758333
8,"Alexandria International","Alexandria","LA",-92.54855611,31.32737167
9,"Bush","Augusta","GA",-81.96449611,33.369955
10,"Albany Cty","Albany","NY",-73.80297861,42.74811944
11,"Waterloo Municipal","Waterloo","IA",-92.40034361,42.55708139
12,"Amarillo International","Amarillo","TX",-101.7059272,35.2193725
13,"Aspen-Pitkin Co/Sardy","Aspen","CO",-106.868845,39.22316
14,"William B Hartsfield-Atlanta Intl","Atlanta","GA",-84.42694444,33.64044444
15,"Outagamie County Regional","Appleton","WI",-88.51947556,44.25740806
16,"Austin-Bergstrom International","Austin","TX",-97.66987194,30.19453278
17,"Asheville Regional","Asheville","NC",-82.54180556,35.43619444
18,"Wilkes-Barre/Scranton Intl","Wilkes-Barre/Scranton","PA",-75.7242675,41.33814944
19,"Kalamazoo County","Kalamazoo","MI",-85.5520575,42.234875
20,"Bradley International","Windsor Locks","CT",-72.68322833,41.93887417
21,"Meadows","Bakersfield","CA",-119.0567681,35.43359806
22,"Binghamton Regional","Binghamton","NY",-75.97961361,42.20848278
23,"Bangor International","Bangor","ME",-68.82813889,44.80744444
24,"Birmingham International","Birmingham","AL",-86.75354972,33.56294306
25,"Billings Logan Intl","Billings","MT",-108.5428611,45.8076625
26,"Bismarck Municipal","Bismarck","ND",-100.7467222,46.77411111
27,"Bemidji-Beltrami County","Bemidji","MN",-94.93372333,47.50942417
28,"Bellingham Intl","Bellingham","WA",-122.5375278,48.79275
29,"Central Illinois Regional","Bloomington","IL",-88.91595278,40.47798556
30,"Nashville International","Nashville","TN",-86.67818222,36.12447667
31,"Boise Air Terminal","Boise","ID",-116.2227778,43.56444444
32,"Gen Edw L Logan Intl","Boston","MA",-71.00517917,42.3643475
33,"Southeast Texas Regional","Beaumont/Port Arthur","TX",-94.02069444,29.95083333
34,"Glynco Jetport","Brunswick","GA",-81.46630556,31.25902778
35,"Brownsville/S.Padre Island International","Brownsville","TX",-97.42586111,25.90683333
36,"Bert Mooney","Butte","MT",-112.49746,45.95479528
