L,u,v,col
9341.57022199546,-3.370648562648931e-12,0.0,white
9100.96205296687,-474.9170435562747,-635.350249130902,aliceblue
8809.518191276267,1008.8647703553196,1668.0042137885869,antiquewhite
8935.225480773472,1065.6983529626743,1674.5947898963586,antiquewhite1
8452.498771345909,1014.910629550502,1609.59231109556,antiquewhite2
7498.378200499403,902.9891968570796,1401.7025937576375,antiquewhite3
5512.0447449413505,605.4412994821879,1027.3461013322294,antiquewhite4
8669.674404031482,-5536.858350494156,2237.022406000431,aquamarine
8669.674404031482,-5536.858350494156,2237.022406000431,aquamarine1
8202.14019538996,-5253.706166573855,2104.2949988399578,aquamarine2
7277.338953434126,-4653.237071830474,1911.171647609985,aquamarine3
5330.488464469565,-3408.6267179915544,1336.878230689052,aquamarine4
9249.917522182908,-811.8799457324717,-175.0021513263234,azure
9249.917522182908,-811.8799457324717,-175.0021513263234,azure1
8752.458823722038,-768.2055698908327,-165.58806274056573,azure2
7766.123829544487,-678.3397385116178,-146.21732461018752,azure3
5688.546350482157,-488.6048819454453,-105.31964231712664,azure4
8997.16897825937,137.6358021985689,1854.876754872662,beige
8664.91909294123,1864.555280180696,2650.6931101770933,bisque
8664.91909294123,1864.555280180696,2650.6931101770933,bisque1
8203.207667126213,1751.6952154068665,2514.8762180608023,bisque2
7268.869122659237,1579.9393943012478,2177.1262068722604,bisque3
5344.523157825133,1096.8238815777936,1662.5399587446489,bisque4
0.0,0.0,0.0,black
8826.373373526147,1389.2692009853158,2429.1263911447486,blanchedalmond
3875.518952443408,-1161.2577384644012,-15649.925027399704,blue
3875.518952443408,-1161.2577384644012,-15649.925027399704,blue1
3666.59469027529,-1098.6558213604376,-14806.25761680056,blue2
3252.198055795396,-974.486308970367,-13132.862042995324,blue3
2379.3079949471944,-712.9341528779397,-9608.001456047594,blue4
4508.91904870321,1889.4254796301952,-12828.78890366306,blueviolet
4114.516390345872,11216.9280109423,2417.828576140416,brown
5826.682897565152,15979.782729226,3444.4702939652793,brown1
5506.726468911116,15177.116541754996,3271.4541844497394,brown2
4886.904824916774,13449.221237488917,2899.0033102747475,brown3
3581.568807191632,9807.318822538413,2113.984834468168,brown4
7389.754440023454,2909.6077147638816,3920.2881702224217,burlywood
8250.500188777123,3275.725827304592,4367.510390606191,burlywood1
7808.557982957907,3092.0373060414245,4116.006382052666,burlywood2
6935.02852779343,2720.2324151922844,3661.636669482374,burlywood3
5072.726527083679,2009.6803732369133,2649.886505208334,burlywood4
6030.390808231104,-3095.807180513374,-847.2389157048207,cadetblue
8604.833489155179,-4224.2873994822285,-1736.4335317009002,cadetblue1
8150.382807119226,-4005.202039781657,-1616.5159495439216,cadetblue2
7224.243391838054,-3554.654822834362,-1456.218321913692,cadetblue3
5302.8254571806265,-2610.408157578389,-1027.8550351965978,cadetblue4
8499.16918003874,-6054.456444915331,10132.42883168826,chartreuse
8499.16918003874,-6054.456444915331,10132.42883168826,chartreuse1
8040.471719224381,-5747.458462175755,9587.988001091557,chartreuse2
7134.981152793386,-5086.220024552037,8506.521240945522,chartreuse3
5224.562177825176,-3730.65582136578,6229.63219123634,chartreuse4
5634.365735906709,9596.805063261769,4871.054106107044,chocolate
6575.414921096965,11263.180321374442,5682.461276999909,chocolate1
6212.821872193996,10710.502621200225,5368.584130193275,chocolate2
5518.121792379492,9463.398038062283,4766.211767944229,chocolate3
4037.11134653288,6948.255335918797,3494.0429588042743,chocolate4
6599.219074226646,10832.02586113655,4553.47303897637,coral
6408.276263199037,11851.68940590194,3869.2528946994503,coral1
6057.315668178183,11252.701277641783,3659.393702968141,coral2
5369.530810862554,10007.305796224342,3231.818921432764,coral3
3936.3566008000594,7292.692807501328,2366.3163154692597,coral4
6102.590858119266,-2406.1836049980025,-8549.691560066058,cornflowerblue
9126.005647394988,566.4745601400859,2136.1600937535636,cornsilk
9126.005647394988,566.4745601400859,2136.1600937535636,cornsilk1
8646.004371210947,508.63701985529974,2076.8525900902177,cornsilk2
7675.789006372684,439.1843106626827,1821.7938257558285,cornsilk3
5630.708271403683,297.8624782641015,1361.0928164396068,cornsilk4
8616.443673657574,-6738.285157166814,-1452.449225963439,cyan
8616.443673657574,-6738.285157166814,-1452.449225963439,cyan1
8152.993039787644,-6375.8545946793465,-1374.3266802901549,cyan2
7233.748999242792,-5656.981622393311,-1219.3723457956582,cyan3
5297.442283111691,-4142.738937221766,-892.9746697253634,cyan4
2379.3079949471944,-712.9341528779397,-9608.001456047594,darkblue
5297.442283111691,-4142.738937221766,-892.9746697253634,darkcyan
5883.465208882585,4579.619302344344,5931.163908438576,darkgoldenrod
7628.531321722474,6010.155265116818,7682.346544211359,darkgoldenrod1
7224.906686345998,5657.807257215034,7280.09346870618,darkgoldenrod2
6409.875331435326,5020.706376267864,6458.868470332428,darkgoldenrod3
4693.0532443747925,3678.8375071807536,4728.998535896049,darkgoldenrod4
6718.082575876182,2.4240352360480156e-12,-4.848070472096031e-12,darkgray
3938.6499835423474,-3762.7539797770287,4811.923099198792,darkgreen
6718.082575876182,2.4240352360480156e-12,-4.848070472096031e-12,darkgrey
7076.462366342461,798.2077254673486,5218.569905583834,darkkhaki
